df_index,Age_Group_code,Age Group,Gender_code,Gender,college_code,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Age,Expected_salary,Financially constrained_coded,Financially constrained,Family_income_coded,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice,family_income
90,19.0,18 - 20,-1,f,45,st xaviers university,ba,psychology,85.0,history,94.0,95.0,history,96.0,7.0,"dance , writing ",human resource,corporate/private sector,25.0,8.0,0,no,3,10 - 12 lakhs,Teaching,,3,1,1,2,1,5,10 - 12 lakhs
91,19.0,18 - 20,-1,f,45,st xaviers university,ba,psychology,85.0,maths,82.0,85.0,psychology,94.0,7.0,fashion walk,psychologist,corporate/private sector,23.5,8.0,0,no,3,10 - 12 lakhs,Business,1.0,3,2,2,1,2,4,10 - 12 lakhs
92,21.0,20 - 22,-1,f,45,st xaviers university,llb,,85.0,english,92.0,75.0,polsc,89.0,7.0,dancing ,judiciary,judiciary ,25.0,20.0,0,no,4,12 - 15 lakhs,Legal Sector,15.0,5,1,2,2,1,5,12 - 15 lakhs
93,19.0,18 - 20,-1,f,45,st xaviers university,ba,english,95.0,english,85.0,85.0,english,85.0,0.0,football,sports,government/public sector,26.5,9.0,1,yes,5,15 lakhs above,Government Job,,1,4,2,5,4,2,15 lakhs above
96,19.0,18 - 20,-1,f,44,st xaviers college (autonomous),msc / ms,integrated msc in biotechnology,95.0,chemistry,89.0,95.0,biology,92.0,8.0,dance,researcher,government/public sector,25.0,10.0,0,no,1,3 -  7  lakhs,Business,1.0,4,2,5,4,3,5,3 -  7  lakhs
97,21.0,20 - 22,1,m,22,institute of engineering and management,b tech.,computer science engineering,85.0,mathematics,96.0,85.0,computer,87.0,7.0,swimming ,software development engineer,it secrtor,32.5,5.0,0,no,4,12 - 15 lakhs,Private Job,,1,1,1,4,5,5,12 - 15 lakhs
99,21.0,20 - 22,1,m,22,institute of engineering and management,bba,management,55.0,history ,,85.0,costingandtaxation,97.0,8.0,,marketing manager,corporate/private sector,25.0,5.0,0,no,3,10 - 12 lakhs,Other,8.0,3,1,1,2,3,3,10 - 12 lakhs
100,21.0,20 - 22,1,m,40,sister nivedita university,b.sc / bs,statistics,95.0,mathematics,98.0,95.0,mathematics,95.0,9.0,football volleyball karate,researcher,corporate/private sector,25.0,15.0,0,no,2,7 - 10 lakhs,Business,6.0,1,4,5,4,2,5,7 - 10 lakhs
101,21.0,20 - 22,1,m,40,sister nivedita university,b.sc / bs,statistics,85.0,maths,95.0,85.0,maths,86.0,7.0,"yes , working in and ngo",data analyst,it secrtor,26.0,6.0,1,yes,4,12 - 15 lakhs,Business,15.0,1,2,5,4,5,1,12 - 15 lakhs
102,21.0,20 - 22,1,m,56,vijaygarh jyotish ray college,msc / ms,microbiology,95.0,science,93.0,85.0,chemistry,75.0,8.0,event management & speaker,professor,academia/education,28.0,10.0,0,no,1,3 -  7  lakhs,Business,3.5,1,1,4,2,1,4,3 -  7  lakhs
103,19.0,18 - 20,1,m,50,techno international,b tech.,english,85.0,math,98.0,75.0,biology,74.0,7.0,yes .... guiterist ,software development engineer,it secrtor,21.0,5.0,2,maybe,3,10 - 12 lakhs,Business,8.0,4,1,2,5,3,4,10 - 12 lakhs
104,19.0,18 - 20,1,m,50,techno international,b tech.,,95.0,physics ,,75.0,,,1.0,no,artificial intelligence,corporate/private sector,23.0,4.0,2,maybe,1,3 -  7  lakhs,Business,20.0,4,3,4,5,3,2,3 -  7  lakhs
105,21.0,20 - 22,1,m,54,university of calcutta,ma,english,85.0,geography,91.0,95.0,biology,96.0,7.0,"martial arts- karate, french language ",undecided,corporate/private sector,32.5,0.23,0,no,1,3 -  7  lakhs,Retired,10.0,3,1,5,1,1,5,3 -  7  lakhs
106,21.0,20 - 22,1,m,40,sister nivedita university,b.sc / bs,agriculture,85.0,biology,91.0,75.0,biology,86.0,8.0,no,entrepreneurship,undecided,22.0,12.0,0,no,1,3 -  7  lakhs,Business,0.1,5,1,5,1,1,5,3 -  7  lakhs
107,19.0,18 - 20,1,m,32,netaji subhash engineering college,b tech.,mathematics,95.0,,,85.0,,,7.0,yes,software development engineer,it secrtor,30.0,5.5,1,yes,0,below 3 lakhs,Government Job,,5,3,3,5,4,3,below 3 lakhs
108,21.0,20 - 22,1,m,22,institute of engineering and management,b tech.,computer science engineering,95.0,computer,93.0,85.0,computer,97.0,8.0,reading,cyber security,it secrtor,30.0,5.5,2,maybe,2,7 - 10 lakhs,Government Job,7.0,4,4,2,1,3,5,7 - 10 lakhs
109,21.0,20 - 22,1,m,50,techno international,b tech.,computer science - artificial intelligence and machine learning,85.0,computer,90.0,85.0,mathematics,85.0,7.0,yea currently am working under traffic management system using ai,web developer,it secrtor,50.0,6.0,0,no,1,3 -  7  lakhs,Legal Sector,5.0,3,4,5,3,5,2,3 -  7  lakhs
110,19.0,18 - 20,1,m,38,seth anandaram jaipuria,b com.,accountancy,75.0,sst,79.0,95.0,bst,100.0,8.0,football ,entrepreneurship,corporate/private sector,32.0,4.0,1,yes,0,below 3 lakhs,Unknown,1.0,1,1,1,1,1,3,below 3 lakhs
111,21.0,20 - 22,1,m,7,calcutta school of tropical medicine,b.sc / bs,medical laboratory technology,95.0,civics,96.0,95.0,mathematics,98.0,7.0,no,researcher,government/public sector,35.0,3.0,0,no,1,3 -  7  lakhs,Business,10.0,5,1,4,5,1,5,3 -  7  lakhs
112,21.0,20 - 22,1,m,44,st xaviers college (autonomous),b.sc / bs,physics,95.0,geography,100.0,95.0,mathematics,100.0,8.0,classical music ( singing),professor,government/public sector,30.0,,2,maybe,1,3 -  7  lakhs,Other,0.5,3,2,4,4,1,5,3 -  7  lakhs
113,21.0,20 - 22,1,m,47,swami vivekanand institute of science and technology,b tech.,electronics and communication,95.0,biology,92.0,85.0,biology,91.0,7.0,singing ,web developer,it secrtor,26.0,4.0,1,yes,0,below 3 lakhs,Business,4.0,4,3,2,4,5,2,below 3 lakhs
114,19.0,18 - 20,1,m,3,amity university,b.sc / bs,⁠computer science - data science ,95.0,maths,95.0,85.0,maths,92.0,9.0,cricket ,data analyst,it secrtor,24.0,8.5,0,no,5,15 lakhs above,Unknown,,5,5,5,4,4,5,15 lakhs above
115,19.0,18 - 20,1,m,3,amity university,b tech.,computer science engineering,95.0,applications,97.0,95.0,computerscience,97.0,8.0,basketball,entrepreneurship,it secrtor,25.0,12.0,1,yes,1,3 -  7  lakhs,Government Job,10.0,3,2,4,3,4,4,3 -  7  lakhs
116,19.0,18 - 20,1,m,55,university of engineering and management,b tech.,computer science engineering,95.0,computerapplications,98.0,95.0,computerapplications,100.0,9.0,,software development engineer,it secrtor,25.0,9.0,0,no,1,3 -  7  lakhs,Business,15.0,2,3,4,2,3,4,3 -  7  lakhs
117,19.0,18 - 20,1,m,22,institute of engineering and management,b tech.,computer science engineering,95.0,computerapplication,99.0,95.0,computerscience,99.0,9.0,"hackathons , fest managments",artificial intelligence,corporate/private sector,25.0,15.0,2,maybe,2,7 - 10 lakhs,Business,15.0,4,3,4,4,2,5,7 - 10 lakhs
118,21.0,20 - 22,1,m,15,heritage college,b com.,finance,95.0,economics ,,85.0,,,7.0,,chattered accountant,undecided,25.0,,2,maybe,3,10 - 12 lakhs,Business,,3,1,2,1,1,4,10 - 12 lakhs
119,19.0,18 - 20,1,m,30,maulana azad college,b.sc / bs,economics,95.0,economics,98.0,95.0,economics,96.0,8.0,football ,undecided,undecided,26.0,,0,no,3,10 - 12 lakhs,Government Job,2.0,3,5,4,2,1,2,10 - 12 lakhs
120,21.0,20 - 22,1,m,30,maulana azad college,b.sc / bs,statistics,95.0,mathematics,97.0,95.0,mathematics,99.0,8.0,,researcher,government/public sector,28.0,9.0,0,no,2,7 - 10 lakhs,Private Job,,4,4,4,4,4,4,7 - 10 lakhs
121,21.0,20 - 22,1,m,14,gurudas college,b.sc / bs,microbiology,85.0,history,82.0,75.0,biology,80.0,6.0,,microbiologist,government/public sector,40.0,3.5,0,no,0,below 3 lakhs,Business,20.0,5,1,5,5,5,5,below 3 lakhs
122,19.0,18 - 20,1,m,42,st pauls cathedral mission college,b.sc / bs,microbiology,85.0,mathematics,96.0,95.0,math,85.0,6.0,football,microbiologist,govt. sector,24.0,6.0,0,no,1,3 -  7  lakhs,Government Job,1.0,1,1,2,5,1,4,3 -  7  lakhs
124,21.0,20 - 22,1,m,37,scottish church college,b.sc / bs,physics,95.0,physics,88.0,85.0,physics,93.0,8.0,"music, combat sports.",researcher,academia/education,30.0,5.5,0,no,1,3 -  7  lakhs,Government Job,1.5,2,1,3,4,1,5,3 -  7  lakhs
126,21.0,20 - 22,1,m,10,dr shyamaprasad mukherjee college,b com.,marketing,85.0,commerce,80.0,75.0,commerce,85.0,6.0,no,entrepreneurship,undecided,28.0,2.0,1,yes,2,7 - 10 lakhs,Business,2.0,1,1,1,1,1,2,7 - 10 lakhs
127,21.0,20 - 22,1,m,46,surendranath college,msc / ms,statistics,75.0,mathematics,90.0,85.0,mathematics,84.0,8.0,no,undecided,government/public sector,26.0,15.0,1,yes,0,below 3 lakhs,Private Job,0.5,5,1,1,4,3,5,below 3 lakhs
