index,Age Group,Gender,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Expected_salary,Age,Financially constrained,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice
104,18 - 20,f,loreto college,ba,history,95.0,history,93.0,95.0,history,100.0,6.0,"music, dance, fashion, head of a college society currently",administration,government/public sector,1.0,25.0,maybe,below 3 lakhs,Business,,5,5,5,4,2,5
105,20 - 22,m,institute of engineering and management,bba,human resource,75.0,geography ,,85.0,,,9.0,football team captain ,entrepreneurship,others,5.5,30.0,no,15 lakhs above,Business,10.0,4,4,4,4,4,4
106,20 - 22,m,institute of engineering and management,b tech.,information technology,95.0,computerscience,100.0,95.0,computerscience,95.0,9.0,"cycling, swimming, ngo activities",software development engineer,it secrtor,5.0,27.0,yes,7 - 10 lakhs,Engineering,2.0,3,1,4,1,1,5
107,18 - 20,m,st thomas college of engineering and technology,b tech.,information technology,95.0,mathematics,100.0,85.0,science,97.0,8.0,,software development engineer,it secrtor,8.5,35.0,no,15 lakhs above,Private Job,4.5,4,2,1,3,4,5
108,20 - 22,m,st thomas college of engineering and technology,b tech.,information technology,85.0,mathematics,94.0,85.0,mathematics,93.0,8.0,,software development engineer,it secrtor,8.0,35.0,maybe,3 -  7  lakhs,Retired,5.0,3,4,4,1,1,4
109,18 - 20,f,st xaviers college (autonomous),msc / ms,integrated msc in biotechnology,95.0,chemistry,89.0,95.0,biology,92.0,8.0,dance,researcher,government/public sector,10.0,25.0,no,3 -  7  lakhs,Business,1.0,4,2,5,4,3,5
110,18 - 20,f,shri shikshayatan college,ba,journalism and mass communication,85.0,english,85.0,85.0,english,89.0,7.0,theatre ,journalist,corporate/private sector,2.0,30.0,maybe,3 -  7  lakhs,Government Job,1.0,1,1,1,1,1,5
111,18 - 20,m,heritage law college,llb,,85.0,bst,89.0,85.0,economics,85.0,7.0,"debate club , moot court ",lawyer,it secrtor,0.03,30.0,no,7 - 10 lakhs,Business,,1,1,1,1,1,5
112,18 - 20,f,calcutta girls high college,llb,,95.0,english,96.0,95.0,english,96.0,9.0,"yes, debates and moot courts.",lawyer,corporate/private sector,12.0,32.0,maybe,3 -  7  lakhs,Business,3.5,5,2,5,5,4,5
113,20 - 22,f,st xaviers university,llb,,95.0,mathematics,96.0,95.0,mathematics,95.0,7.0,"singing, recitation, painting",lawyer,corporate/private sector,10.0,25.0,no,15 lakhs above,Legal Sector,10.0,3,1,1,2,1,5
115,18 - 20,f,the west bengal national university of juridical sciences,llb,,95.0,english,90.0,85.0,english,96.0,7.0,dance,lawyer,corporate/private sector,12.0,24.0,no,15 lakhs above,Teaching,8.5,1,1,1,1,1,5
116,18 - 20,m,st xaviers university,llb,,95.0,physics,97.0,85.0,englishliterature,90.0,7.0,playing piano,lawyer,undecided,,35.0,no,7 - 10 lakhs,Engineering,,1,1,1,5,1,5
117,18 - 20,m,st xaviers university,llb,,75.0,politicalscience,82.0,85.0,economics,88.0,7.0,no,litigation,government/public sector,6.5,30.0,no,15 lakhs above,Legal Sector,10.0,5,2,3,5,4,4
118,20 - 22,f,st xaviers university,llb,,85.0,english,92.0,75.0,polsc,89.0,7.0,dancing ,judiciary,judiciary ,20.0,25.0,no,12 - 15 lakhs,Legal Sector,15.0,5,1,2,2,1,5
120,18 - 20,f,jogesh chandra chowdhury law college,llb,,65.0,geography,75.0,85.0,politicalscience,99.0,7.0,,lawyer,government/public sector,2.0,25.0,yes,3 -  7  lakhs,Government Job,1.0,5,5,3,1,1,4
121,18 - 20,f,presidency university,b.sc / bs,life sciences,95.0,maths,100.0,95.0,psychology,100.0,10.0,"dancing, drama",researcher,government/public sector,,30.0,yes,3 -  7  lakhs,Private Job,1.0,1,2,2,2,4,5
122,20 - 22,f,presidency university,b.sc / bs,life sciences,85.0,biology,85.0,95.0,biology,99.0,7.0,"dance , painting , drama ",entrepreneurship,corporate/private sector,11.0,26.5,maybe,12 - 15 lakhs,Government Job,20.0,5,5,4,5,1,5
123,18 - 20,m,presidency university,b.sc / bs,life sciences,95.0,science,99.0,95.0,biology,94.0,8.0,"creative writing, anchoring, recitation ",animal biologist,academia/education,,25.0,no,3 -  7  lakhs,Government Job,3.0,3,4,5,3,2,5
124,20 - 22,f,presidency university,b.sc / bs,life sciences,95.0,biology,98.0,95.0,biology,95.0,8.0,painting ,marine biologist,it secrtor,9.6,30.5,no,12 - 15 lakhs,Government Job,3.0,3,1,1,2,5,5
126,18 - 20,f,indian institute of science education and research kolkata,bsms,physics,95.0,english,97.0,85.0,bengali,92.0,8.0,cultural activities(drama and recitation) and sports: football mainly,professor,corporate/private sector,9.5,29.5,maybe,7 - 10 lakhs,Government Job,5.5,4,2,4,5,4,1
127,20 - 22,m,institute of engineering and management,bba,management,55.0,history ,,85.0,costingandtaxation,97.0,8.0,,marketing manager,corporate/private sector,5.0,25.0,no,10 - 12 lakhs,Other,8.0,3,1,1,2,3,3
128,20 - 22,f,university of engineering and management,bba,management,85.0,mathematics,96.0,65.0,mathematics,68.0,9.0,leadership roles,data analyst,it secrtor,3.5,25.0,yes,7 - 10 lakhs,Business,4.0,3,3,1,2,4,2
129,20 - 22,m,institute of engineering and management,bba,management,75.0,maths,96.0,85.0,computerscience,97.0,9.0,graphics designer ,entrepreneurship,undecided,4.0,30.0,yes,10 - 12 lakhs,Other,20.0,3,3,2,1,2,4
130,20 - 22,m,dr shyamaprasad mukherjee college,b com.,marketing,85.0,commerce,80.0,75.0,commerce,85.0,6.0,no,entrepreneurship,undecided,2.0,28.0,yes,7 - 10 lakhs,Business,2.0,1,1,1,1,1,2
131,18 - 20,f,institute of engineering and management,bba,marketing,85.0,english,85.0,85.0,english,90.0,8.0,,graphics designing,undecided,5.0,25.0,no,12 - 15 lakhs,Business,2.0,3,3,3,3,3,3
132,20 - 22,f,st xaviers university,bba,marketing,85.0,history,97.0,95.0,businessstudies,96.0,7.0,not really at present,entrepreneurship,corporate/private sector,2.04,33.0,no,3 -  7  lakhs,Business,15.0,5,4,3,3,4,2
133,18 - 20,m,asutosh college,ba,mass com,55.0,english,91.0,75.0,bstd,82.0,6.0,"football, anchoring ",entrepreneurship,government/public sector,11.5,24.0,maybe,7 - 10 lakhs,Government Job,,1,3,1,5,4,4
134,20 - 22,m,techno india university,b tech.,mathematics,85.0,biology,89.0,85.0,computer,92.0,7.0,no,entrepreneurship,government/public sector,12.0,25.0,no,10 - 12 lakhs,Other,1.0,3,2,4,4,2,2
135,20 - 22,f,sister nivedita university,b.sc / bs,mathematics,85.0,mathematics,91.0,85.0,mathematics,93.0,8.0,painting ,chartered accountant,corporate/private sector,1.8,23.5,maybe,3 -  7  lakhs,Retired,3.5,1,1,2,1,1,5
136,20 - 22,f,narasinha dutt college,b.sc / bs,mathematics,85.0,geography,95.0,75.0,mathematics,63.0,6.0,singing ,chartered accountant,government/public sector,6.0,24.0,yes,below 3 lakhs,Retired,1.5,4,4,2,3,1,5
